convention,scale,dim,lam_dev_sel,n_train_mean,n_over_d,regime,train_acc,train_logloss,test_logloss,test_acc,train_test_gap,beats_log2,hessian_cond,fm_cleanhead_auroc,fm_refit_auroc,fm_refit_auroc_sd,n_pools_refit_below_half,marg_excess_reversed,theta_dist
cat,n1000,32,0.001,615.0,19.21875,N>d,0.6617698419183489,0.6255272048009537,0.6488671300789112,0.6138969873663751,0.02333992527795765,True,2.229385058740334,0.7426489995141454,0.1325148648758954,0.14269147568671836,5,0.6761032644780725,8.252236255273486
cat,n1000,64,0.001,615.0,9.609375,N>d,0.6695202776073643,0.6179342366625727,0.649015014800493,0.6166180758017493,0.031080778137920095,True,2.4768514889497157,0.763083887572248,0.13462893274705884,0.14005710435684482,5,0.6785955265677348,8.564963841269332
cat,n1000,128,0.001,615.0,4.8046875,N>d,0.6935300399523909,0.6057713167957408,0.6485670359452278,0.6142857142857143,0.0427957191494869,True,2.7140198965006017,0.790330504928596,0.13598113175881424,0.13847273909325494,5,0.6711172176334932,8.92749503223949
cat,n1000,256,0.001,615.0,2.40234375,N>d,0.7175663949996318,0.5971131690266217,0.6480472183405148,0.614868804664723,0.050934049313893184,True,2.905523360163583,0.8065186953281053,0.1352003011490646,0.13944162593744033,5,0.6647342588063209,9.159031010828794
cat,n1000,384,0.001,615.0,1.6015625,N~d,0.7201476281411366,0.5960834513924843,0.6480243533147828,0.615840621963071,0.05194090192229848,True,2.951126435202522,0.8088526700651621,0.13501210207034348,0.1396528860836196,5,0.6636258360985675,9.182445799069445
cat,n300,32,0.001,183.4,5.73125,N>d,0.6804383981031765,0.6050889046385242,0.666676934622843,0.5855199222546161,0.061588029984318934,True,2.4815072134740914,0.7385612272656298,0.1460764576676526,0.05248033901641391,5,0.7939886719551057,9.049948592555964
cat,n300,64,0.001,183.4,2.865625,N>d,0.7384949163969935,0.5690233837149332,0.6701817587154901,0.5773566569484936,0.10115837500055691,True,2.8671429539444135,0.8466283304396512,0.15514755987083023,0.05533321159619235,5,0.7645180203345676,9.928657477914644
cat,n300,128,0.001,183.4,1.4328125,N~d,0.829920265571223,0.5386370797357471,0.6702960328094582,0.5773566569484936,0.13165895307371092,True,3.263578866705707,0.9155205123318331,0.15011029036186269,0.054010767059517656,5,0.7345834823807544,10.471944440214914
cat,n300,256,0.001,183.4,0.71640625,N<d,0.8419194363903157,0.5342577807335649,0.6703587619914406,0.5773566569484936,0.13610098125787545,True,3.39551461603613,0.9249881397428567,0.14972330464783293,0.05428191787211828,5,0.7274812583789834,10.519041152698408
cat,n300,384,0.001,183.4,0.4776041666666667,N<d,0.8419194363903157,0.5342577807335649,0.6703587619914406,0.5773566569484936,0.13610098125787545,True,3.395514616036132,0.9249881397428567,0.14972330464783293,0.05428191787211828,5,0.7274812583789834,10.519041152698408
cat,n3000,32,0.0001,1849.2,57.7875,N>d,0.631464285822906,0.6336787275747099,0.6433765624460988,0.6161321671525753,0.009697834871388844,True,4.562051549457693,0.5815985609789376,0.1585794904927231,0.10760266067518512,5,1.229077844564896,17.111141539263354
cat,n3000,64,0.0001,1849.2,28.89375,N>d,0.6451013377107614,0.6259804617053726,0.644706822197027,0.6187560738581147,0.01872636049165439,True,6.015203520966248,0.6030850284662764,0.163661320683332,0.10151491760560082,5,1.2304915569622956,17.87381437548919
