convention,scale,attack,budget_mult,policy,review_budget,score_auroc,recovered,precision,recall,precision_lift,n_pools_beat_top,delete_minus_no_action,correct_minus_no_action
cat,n1000,directional,0.5,bottom_oracle_diagnostic,46.0,0.13501210207034348,25.6,0.5596340836673861,0.28060898014316293,0.4100413406690704,5,-0.02273184632233794,-0.0480289783215323
cat,n1000,directional,0.5,random,46.0,0.13501210207034348,6.739999999999999,0.14644793915099183,0.07326709848959255,-0.0031448038473238698,5,-0.0004444451858822289,-0.010295278875467
cat,n1000,directional,0.5,top,46.0,0.13501210207034348,0.0,0.0,0.0,-0.1495927429983157,0,0.02401057337565008,0.0
cat,n1000,directional,0.5,two_tailed,46.0,0.13501210207034348,13.0,0.2841669236303833,0.14244385411106783,0.13457418063206764,5,0.00269579703738312,-0.03093033660686138
cat,n1000,directional,1.0,bottom_oracle_diagnostic,92.0,0.13501210207034348,47.2,0.517074795369982,0.517074795369982,0.36748205237166626,5,-0.05098977515721662,-0.066029505696788
cat,n1000,directional,1.0,random,92.0,0.13501210207034348,14.120000000000001,0.15353392837421959,0.15353392837421959,0.003941185375903873,5,0.000549050434342322,-0.018919032923621903
cat,n1000,directional,1.0,top,92.0,0.13501210207034348,0.0,0.0,0.0,-0.1495927429983157,0,0.04492671657710705,0.0
cat,n1000,directional,1.0,two_tailed,92.0,0.13501210207034348,25.6,0.28060898014316293,0.28060898014316293,0.13101623714484717,5,0.0033730141166175994,-0.0480289783215323
cat,n1000,directional,2.0,bottom_oracle_diagnostic,184.0,0.13501210207034348,69.8,0.3812034025311755,0.762406805062351,0.2316106595328597,5,-0.07492880644507172,-0.07284986869044711
cat,n1000,directional,2.0,random,184.0,0.13501210207034348,27.639999999999997,0.1501288773146819,0.30025775462936394,0.0005361343163662345,5,0.0007965401410472882,-0.033598833301752326
cat,n1000,directional,2.0,top,184.0,0.13501210207034348,0.0,0.0,0.0,-0.1495927429983157,0,0.08130053239666929,0.0
cat,n1000,directional,2.0,two_tailed,184.0,0.13501210207034348,47.2,0.258537397684991,0.517074795369982,0.10894465468667525,5,-0.00484689858512574,-0.066029505696788
cat,n1000,margin_targeted,0.5,bottom_oracle_diagnostic,46.0,0.6478538394996057,0.0,0.0,0.0,-0.1495927429983157,0,0.00553056142187546,0.0
cat,n1000,margin_targeted,0.5,random,46.0,0.6478538394996057,6.780000000000001,0.1474932675506218,0.07373142691578424,-0.0020994754476939027,5,0.00015382295245655882,4.2329399921134534e-07
cat,n1000,margin_targeted,0.5,top,46.0,0.6478538394996057,0.0,0.0,0.0,-0.1495927429983157,0,-0.0012605246947347399,0.0
cat,n1000,margin_targeted,0.5,two_tailed,46.0,0.6478538394996057,0.0,0.0,0.0,-0.1495927429983157,0,-0.00253495822430892,0.0
cat,n1000,margin_targeted,1.0,bottom_oracle_diagnostic,92.0,0.6478538394996057,0.4,0.00432445067788686,0.00432445067788686,-0.14526829232042887,2,0.01943237590420318,0.00023668082561922
cat,n1000,margin_targeted,1.0,random,92.0,0.6478538394996057,13.5,0.1468458457811804,0.1468458457811804,-0.0027468972171353027,5,0.000890691956354366,-1.746584785540813e-05
cat,n1000,margin_targeted,1.0,top,92.0,0.6478538394996057,0.0,0.0,0.0,-0.1495927429983157,0,0.00325829104936788,0.0
cat,n1000,margin_targeted,1.0,two_tailed,92.0,0.6478538394996057,0.0,0.0,0.0,-0.1495927429983157,0,-0.00174579292593732,0.0
cat,n1000,margin_targeted,2.0,bottom_oracle_diagnostic,184.0,0.6478538394996057,3.8,0.02058460038033904,0.041169200760678135,-0.1290081426179766,0,0.07484114023962259,0.00023206368634666
cat,n1000,margin_targeted,2.0,random,184.0,0.6478538394996057,28.299999999999994,0.1537686818998328,0.30753736379966573,0.004175938901517112,0,0.0011890846996395576,3.238393322380538e-05
cat,n1000,margin_targeted,2.0,top,184.0,0.6478538394996057,36.6,0.19866702690775379,0.3973340538155076,0.04907428390943804,0,0.010475345962701419,-0.00028709190856933766
cat,n1000,margin_targeted,2.0,two_tailed,184.0,0.6478538394996057,0.4,0.00216222533894342,0.00432445067788686,-0.1474305176593723,0,0.0009963707074401816,0.00023668082561922
cat,n300,directional,0.5,bottom_oracle_diagnostic,13.8,0.1375099007677624,5.4,0.3967032967032967,0.19967439967439965,0.24839518301818683,5,-0.0070355397558335645,-0.017587361067934758
cat,n300,directional,0.5,random,13.8,0.1375099007677624,2.3800000000000003,0.17241758241758237,0.08761090761090755,0.024109468732472546,5,1.2418261166885253e-06,-0.003731744174892155
cat,n300,directional,0.5,top,13.8,0.1375099007677624,0.0,0.0,0.0,-0.14830811368510982,0,0.011000190891665219,0.0
