seed,attack,detector,auroc,precision_at_budget
0,random_flip,self_influence,0.6238461538461538,0.15384615384615385
0,random_flip,cross_fit,0.6115384615384616,0.19230769230769232
0,random_flip,training_dynamics,0.6538461538461539,0.2692307692307692
0,random_flip,ensemble,0.6410256410256411,0.23076923076923078
0,gradient_flip,self_influence,0.31666666666666665,0.0
0,gradient_flip,cross_fit,0.3082051282051282,0.0
0,gradient_flip,training_dynamics,0.2969230769230769,0.0
0,gradient_flip,ensemble,0.29205128205128206,0.0
0,ambiguity_flip,self_influence,0.4828205128205128,0.15384615384615385
0,ambiguity_flip,cross_fit,0.6328205128205128,0.038461538461538464
0,ambiguity_flip,training_dynamics,0.8146153846153846,0.5384615384615384
0,ambiguity_flip,ensemble,0.6623076923076923,0.15384615384615385
1,random_flip,self_influence,0.5539989811512991,0.19230769230769232
1,random_flip,cross_fit,0.6604686704024453,0.23076923076923078
1,random_flip,training_dynamics,0.5904228222109017,0.2692307692307692
1,random_flip,ensemble,0.619587366276108,0.19230769230769232
1,gradient_flip,self_influence,0.2618441161487519,0.0
1,gradient_flip,cross_fit,0.31558838512480897,0.07692307692307693
1,gradient_flip,training_dynamics,0.16250636780438105,0.0
1,gradient_flip,ensemble,0.21790626591951096,0.0
1,ambiguity_flip,self_influence,0.4108507386653082,0.0
1,ambiguity_flip,cross_fit,0.609016811003566,0.0
1,ambiguity_flip,training_dynamics,0.8028527763627101,0.5384615384615384
1,ambiguity_flip,ensemble,0.619587366276108,0.07692307692307693
2,random_flip,self_influence,0.5478092471556524,0.14814814814814814
2,random_flip,cross_fit,0.5654805131929315,0.2222222222222222
2,random_flip,training_dynamics,0.5102880658436214,0.14814814814814814
2,random_flip,ensemble,0.5405470830307432,0.14814814814814814
2,gradient_flip,self_influence,0.25393367223432584,0.037037037037037035
2,gradient_flip,cross_fit,0.2786250302590172,0.07407407407407407
2,gradient_flip,training_dynamics,0.1803437424352457,0.0
2,gradient_flip,ensemble,0.21822803195352214,0.0
2,ambiguity_flip,self_influence,0.4442023723069475,0.0
2,ambiguity_flip,cross_fit,0.5899297990801259,0.07407407407407407
2,ambiguity_flip,training_dynamics,0.8213507625272332,0.5555555555555556
2,ambiguity_flip,ensemble,0.6223674655047204,0.1111111111111111
3,random_flip,self_influence,0.6780440571290245,0.37037037037037035
3,random_flip,cross_fit,0.6681190994916485,0.3333333333333333
3,random_flip,training_dynamics,0.6364076494795449,0.18518518518518517
3,random_flip,ensemble,0.6762285160977971,0.37037037037037035
3,gradient_flip,self_influence,0.28854998789639313,0.0
3,gradient_flip,cross_fit,0.2783829581215202,0.0
3,gradient_flip,training_dynamics,0.271362866134108,0.0
3,gradient_flip,ensemble,0.2726942628903413,0.0
3,ambiguity_flip,self_influence,0.5318324860808521,0.07407407407407407
3,ambiguity_flip,cross_fit,0.6194625998547567,0.037037037037037035
3,ambiguity_flip,training_dynamics,0.8344226579520697,0.5185185185185185
3,ambiguity_flip,ensemble,0.667513919147906,0.14814814814814814
4,random_flip,self_influence,0.6431623931623932,0.3333333333333333
4,random_flip,cross_fit,0.6068376068376068,0.2222222222222222
4,random_flip,training_dynamics,0.6201329534662868,0.18518518518518517
4,random_flip,ensemble,0.6306980056980057,0.3333333333333333
4,gradient_flip,self_influence,0.2815764482431149,0.0
4,gradient_flip,cross_fit,0.27706552706552706,0.037037037037037035
4,gradient_flip,training_dynamics,0.25,0.0
4,gradient_flip,ensemble,0.2621082621082621,0.0
4,ambiguity_flip,self_influence,0.43874643874643876,0.1111111111111111
4,ambiguity_flip,cross_fit,0.5638651471984806,0.037037037037037035
4,ambiguity_flip,training_dynamics,0.7989078822412156,0.48148148148148145
4,ambiguity_flip,ensemble,0.606718898385565,0.14814814814814814
5,random_flip,self_influence,0.5845644421803362,0.2692307692307692
5,random_flip,cross_fit,0.5980641874681609,0.11538461538461539
5,random_flip,training_dynamics,0.6268466632705043,0.23076923076923078
5,random_flip,ensemble,0.6273560876209883,0.23076923076923078
5,gradient_flip,self_influence,0.3000509424350484,0.0
5,gradient_flip,cross_fit,0.3138053998981151,0.07692307692307693
5,gradient_flip,training_dynamics,0.26617422312786554,0.0
5,gradient_flip,ensemble,0.2860417727967397,0.0
5,ambiguity_flip,self_influence,0.48955680081507896,0.038461538461538464
5,ambiguity_flip,cross_fit,0.6342333163525217,0.0
5,ambiguity_flip,training_dynamics,0.8362200713194091,0.5384615384615384
5,ambiguity_flip,ensemble,0.6709118695873663,0.07692307692307693
6,random_flip,self_influence,0.5317460317460317,0.14814814814814814
6,random_flip,cross_fit,0.5276575276575276,0.14814814814814814
6,random_flip,training_dynamics,0.544973544973545,0.2222222222222222
6,random_flip,ensemble,0.5334295334295335,0.2222222222222222
6,gradient_flip,self_influence,0.26551226551226553,0.0
6,gradient_flip,cross_fit,0.25998075998076,0.07407407407407407
6,gradient_flip,training_dynamics,0.1931216931216931,0.0
6,gradient_flip,ensemble,0.22294372294372294,0.0
6,ambiguity_flip,self_influence,0.48508898508898507,0.037037037037037035
6,ambiguity_flip,cross_fit,0.6132756132756133,0.07407407407407407
6,ambiguity_flip,training_dynamics,0.79004329004329,0.5555555555555556
6,ambiguity_flip,ensemble,0.6421356421356421,0.14814814814814814
7,random_flip,self_influence,0.5882051282051282,0.23076923076923078
7,random_flip,cross_fit,0.5428205128205128,0.11538461538461539
7,random_flip,training_dynamics,0.6338461538461538,0.2692307692307692
7,random_flip,ensemble,0.6012820512820513,0.23076923076923078
7,gradient_flip,self_influence,0.2982051282051282,0.0
7,gradient_flip,cross_fit,0.2764102564102564,0.0
7,gradient_flip,training_dynamics,0.28923076923076924,0.0
7,gradient_flip,ensemble,0.2773076923076923,0.0
7,ambiguity_flip,self_influence,0.5184615384615384,0.07692307692307693
7,ambiguity_flip,cross_fit,0.587948717948718,0.038461538461538464
7,ambiguity_flip,training_dynamics,0.8220512820512821,0.5384615384615384
7,ambiguity_flip,ensemble,0.6533333333333333,0.23076923076923078
8,random_flip,self_influence,0.6251885369532428,0.23076923076923078
8,random_flip,cross_fit,0.663901458019105,0.23076923076923078
8,random_flip,training_dynamics,0.5206133735545501,0.11538461538461539
8,random_flip,ensemble,0.6040723981900452,0.19230769230769232
8,gradient_flip,self_influence,0.2905982905982906,0.038461538461538464
8,gradient_flip,cross_fit,0.2893413775766717,0.11538461538461539
8,gradient_flip,training_dynamics,0.20361990950226244,0.0
8,gradient_flip,ensemble,0.24673202614379086,0.038461538461538464
8,ambiguity_flip,self_influence,0.5356963298139769,0.07692307692307693
8,ambiguity_flip,cross_fit,0.652589240824535,0.038461538461538464
8,ambiguity_flip,training_dynamics,0.879587732528909,0.5769230769230769
8,ambiguity_flip,ensemble,0.7062594268476622,0.15384615384615385
9,random_flip,self_influence,0.6025175502299686,0.2962962962962963
9,random_flip,cross_fit,0.5739530380053256,0.25925925925925924
9,random_flip,training_dynamics,0.5681433067053983,0.2222222222222222
9,random_flip,ensemble,0.5888404744613895,0.25925925925925924
9,gradient_flip,self_influence,0.31251512950859356,0.037037037037037035
9,gradient_flip,cross_fit,0.30888404744613895,0.037037037037037035
9,gradient_flip,training_dynamics,0.27959331880900506,0.0
9,gradient_flip,ensemble,0.28963931251512953,0.0
9,ambiguity_flip,self_influence,0.44517066085693535,0.07407407407407407
9,ambiguity_flip,cross_fit,0.6211571048172355,0.0
9,ambiguity_flip,training_dynamics,0.8564512224642944,0.6296296296296297
9,ambiguity_flip,ensemble,0.649116436698136,0.07407407407407407
10,random_flip,self_influence,0.6530465949820788,0.18518518518518517
10,random_flip,cross_fit,0.6258064516129033,0.2222222222222222
10,random_flip,training_dynamics,0.6367980884109916,0.14814814814814814
