seed,detector,spearman_alpha_vs_auroc,direction,auroc_at_alpha0,auroc_at_alpha1
0,cross_fit,0.19999999999999998,increasing,0.6187179487179487,0.6328205128205128
0,self_influence,0.0,flat,0.5089743589743589,0.4828205128205128
0,training_dynamics,0.9999999999999999,increasing,0.28384615384615386,0.8146153846153846
1,cross_fit,0.3,increasing,0.5855832908813041,0.609016811003566
1,self_influence,-0.09999999999999999,decreasing,0.5022924095771778,0.4108507386653082
1,training_dynamics,0.9999999999999999,increasing,0.25063678043810494,0.8028527763627101
2,cross_fit,0.0,flat,0.5962236746550472,0.5899297990801259
2,self_influence,0.0,flat,0.504236262406197,0.4442023723069475
2,training_dynamics,0.9999999999999999,increasing,0.2844347615589446,0.8213507625272332
3,cross_fit,-0.7,decreasing,0.6702977487291213,0.6194625998547567
3,self_influence,-0.09999999999999999,decreasing,0.598160251755023,0.5318324860808521
3,training_dynamics,0.9999999999999999,increasing,0.3756959573953038,0.8344226579520697
4,cross_fit,-0.3,decreasing,0.6692782526115859,0.5638651471984806
4,self_influence,-0.09999999999999999,decreasing,0.5885565052231719,0.43874643874643876
4,training_dynamics,0.9999999999999999,increasing,0.36253561253561256,0.7989078822412156
5,cross_fit,0.09999999999999999,increasing,0.60825267447784,0.6342333163525217
5,self_influence,0.0,flat,0.5287824758023434,0.48955680081507896
5,training_dynamics,0.9999999999999999,increasing,0.2954661232806928,0.8362200713194091
6,cross_fit,-0.6,decreasing,0.6238576238576239,0.6132756132756133
6,self_influence,-0.3,decreasing,0.5514670514670514,0.48508898508898507
6,training_dynamics,0.9999999999999999,increasing,0.2994227994227994,0.79004329004329
7,cross_fit,-0.6,decreasing,0.6782051282051282,0.587948717948718
7,self_influence,0.0,flat,0.5502564102564103,0.5184615384615384
7,training_dynamics,0.9999999999999999,increasing,0.28282051282051285,0.8220512820512821
8,cross_fit,-0.3,decreasing,0.669683257918552,0.652589240824535
8,self_influence,0.0,flat,0.608848667672197,0.5356963298139769
8,training_dynamics,0.9999999999999999,increasing,0.3622423328305681,0.879587732528909
9,cross_fit,0.8999999999999998,increasing,0.5669329460179133,0.6211571048172355
9,self_influence,0.0,flat,0.5291696925683854,0.44517066085693535
9,training_dynamics,0.9999999999999999,increasing,0.289760348583878,0.8564512224642944
10,cross_fit,0.7,increasing,0.5682198327359618,0.6210274790919952
10,self_influence,0.0,flat,0.5232974910394266,0.4860215053763441
10,training_dynamics,0.9999999999999999,increasing,0.27646356033452807,0.8583034647550777
11,cross_fit,-0.49999999999999994,decreasing,0.6108299595141701,0.5984311740890689
11,self_influence,-0.09999999999999999,decreasing,0.5528846153846154,0.5328947368421053
11,training_dynamics,0.9999999999999999,increasing,0.33856275303643724,0.8150303643724697
12,cross_fit,0.3,increasing,0.5388525780682644,0.5570079883805374
12,self_influence,-0.09999999999999999,decreasing,0.46114742193173563,0.4439603001694505
12,training_dynamics,0.9999999999999999,increasing,0.24739772452190753,0.7877027354151537
13,cross_fit,-0.6,decreasing,0.6253183902190524,0.5797249108507386
13,self_influence,0.0,flat,0.5076413652572593,0.4276617422312787
13,training_dynamics,0.9999999999999999,increasing,0.2682119205298013,0.8031074885379521
14,cross_fit,-0.49999999999999994,decreasing,0.6143790849673203,0.599798893916541
14,self_influence,-0.3,decreasing,0.5098039215686274,0.43790849673202614
14,training_dynamics,0.9999999999999999,increasing,0.28456510809451985,0.8049270990447461
15,cross_fit,0.49999999999999994,increasing,0.5406445406445406,0.5998075998075998
15,self_influence,0.39999999999999997,increasing,0.45574795574795574,0.4894179894179894
15,training_dynamics,0.9999999999999999,increasing,0.24579124579124578,0.8172198172198172
16,cross_fit,0.49999999999999994,increasing,0.5349002849002849,0.5446343779677113
16,self_influence,-0.09999999999999999,decreasing,0.44776828110161443,0.41856600189933524
16,training_dynamics,0.9999999999999999,increasing,0.2409781576448243,0.7960588793922128
17,cross_fit,-0.19999999999999998,decreasing,0.6332138590203107,0.6592592592592592
17,self_influence,-0.09999999999999999,decreasing,0.5675029868578255,0.45639187574671447
17,training_dynamics,0.9999999999999999,increasing,0.32951015531660693,0.8315412186379928
18,cross_fit,-0.6,decreasing,0.6930718288334182,0.6332144676515538
18,self_influence,0.0,flat,0.5537442689760571,0.5275089149261335
18,training_dynamics,0.9999999999999999,increasing,0.31788079470198677,0.8713703515028018
19,cross_fit,-0.3,decreasing,0.7803304078471863,0.6997934950955085
19,self_influence,-0.3,decreasing,0.62751677852349,0.5196179659266907
19,training_dynamics,0.9999999999999999,increasing,0.3678368611254517,0.8879710893133712
