attack,detector,metric,n_seeds,mean,sd,median,min,max,p2_5,p97_5,block,alpha,stage,interval_type
ambiguity_flip,cross_fit,auroc,20,0.6108499254643289,0.036734959327947875,0.6111462121395896,0.5446343779677113,0.6997934950955085,0.5505118429138037,0.68053973307329,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
ambiguity_flip,cross_fit,precision_at_budget,20,0.03967236467236467,0.03590456067265956,0.03774928774928775,0.0,0.11538461538461539,0.0,0.11538461538461539,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
ambiguity_flip,ensemble,auroc,20,0.6466122096405493,0.03608766695510034,0.6523441015376499,0.5821462488129154,0.7221218378936499,0.588718041822617,0.7145871926468057,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
ambiguity_flip,ensemble,precision_at_budget,20,0.14551282051282052,0.052082347290905905,0.14814814814814814,0.07407407407407407,0.2692307692307692,0.07542735042735042,0.2509615384615384,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
ambiguity_flip,self_influence,auroc,20,0.4761188196462321,0.04165063948227654,0.48395474895474894,0.4108507386653082,0.5356963298139769,0.41451548870147104,0.5343655731523379,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
ambiguity_flip,self_influence,precision_at_budget,20,0.07179487179487179,0.04268603177477389,0.07407407407407407,0.0,0.15384615384615385,0.0,0.13557692307692304,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
ambiguity_flip,training_dynamics,auroc,20,0.8264867785148697,0.030088349386747176,0.8192852898735252,0.7877027354151537,0.8879710893133712,0.7888144988635184,0.8839889948407517,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
ambiguity_flip,training_dynamics,precision_at_budget,20,0.5452279202279202,0.040618015743074214,0.5384615384615384,0.4444444444444444,0.6296296296296297,0.462037037037037,0.6120370370370369,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
gradient_flip,cross_fit,auroc,20,0.28009167404409524,0.052678297072387234,0.2785039941902687,0.16412490922294845,0.4045400238948626,0.181117500418971,0.3687141785231198,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
gradient_flip,cross_fit,precision_at_budget,20,0.050854700854700854,0.05328813929096676,0.037037037037037035,0.0,0.2222222222222222,0.0,0.1714743589743588,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
gradient_flip,ensemble,auroc,20,0.24660135055857596,0.04503375382664959,0.25476347540105926,0.15843621399176955,0.310752688172043,0.1669029043477167,0.30559739859550106,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
gradient_flip,ensemble,precision_at_budget,20,0.00754985754985755,0.019608727046267455,0.0,0.0,0.07407407407407407,0.0,0.05715811965811961,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
gradient_flip,self_influence,auroc,20,0.28312473523602755,0.03449977070210786,0.28934468935346247,0.22507122507122507,0.33548387096774196,0.2285037074772174,0.33446236559139786,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
gradient_flip,self_influence,precision_at_budget,20,0.011253561253561254,0.02134451703143705,0.0,0.0,0.07407407407407407,0.0,0.05715811965811961,E1,,,"repeated-split stability interval (same 300-example pool, not an independent CI)"
