macro,value,source,status
vFourNPoolsPerScale,5,docs/EXPERIMENTAL_PLAN.md,measured
vFourNPoolsTotal,15,embedding_manifest.json,measured
vFourPoolTrainRows,43835,embedding_manifest.json,measured
vFourPoolTestRows,2354,embedding_manifest.json,measured
vFourRowsUsed,21500,embedding_manifest.json,measured
vFourNCells,1050,x_grid_cells.csv,measured
vFourRefitBelowHalf,1050,x_grid_cells.csv,measured
vFourAbsorbPositive,1050,x_grid_cells.csv,measured
vFourRefitMin,0.0952,q2_nd_ladder.csv,measured
vFourRefitMax,0.1696,q2_nd_ladder.csv,measured
vFourNLadder,30,q2_nd_ladder.csv,measured
vFourLadderAllFive,30,q2_nd_ladder.csv,measured
vFourNTrainLo,183,q2b_effect_of_N.csv,measured
vFourNdRatioLo,0.48,q2b_effect_of_N.csv,measured
vFourOracleLo,0.9250,q2b_effect_of_N.csv,measured
vFourRefitLo,0.1497,q2b_effect_of_N.csv,measured
vFourTrainAccLo,0.842,q2b_effect_of_N.csv,measured
vFourNTrainMid,615,q2b_effect_of_N.csv,measured
vFourNdRatioMid,1.60,q2b_effect_of_N.csv,measured
vFourOracleMid,0.8089,q2b_effect_of_N.csv,measured
vFourRefitMid,0.1350,q2b_effect_of_N.csv,measured
vFourTrainAccMid,0.720,q2b_effect_of_N.csv,measured
vFourNTrainHi,1849,q2b_effect_of_N.csv,measured
vFourNdRatioHi,4.82,q2b_effect_of_N.csv,measured
vFourOracleHi,0.5971,q2b_effect_of_N.csv,measured
vFourRefitHi,0.1524,q2b_effect_of_N.csv,measured
vFourTrainAccHi,0.659,q2b_effect_of_N.csv,measured
vFourOraclePoolsHi,2,q2b_effect_of_N.csv,measured
vFourOracleRespHi,0.7757,q2b_effect_of_N.csv,measured
vFourOracleRespLo,0.9941,q2b_effect_of_N.csv,measured
vFourNdRatioMax,5.46,q2b_effect_of_N.csv,measured
vFourOracleLadderMin,0.5800,q2_nd_ladder.csv,measured
vFourOracleLadderMax,0.9250,q2_nd_ladder.csv,measured
vFourLogTwo,0.6931,log 2,measured
vFourBestTestLL,0.6434,q3_cleanhead_validity.csv,measured
vFourBestTestAcc,0.6161,q3_cleanhead_validity.csv,measured
vFourBestRefitAuroc,0.1586,q3_cleanhead_validity.csv,measured
vFourNQualify,6,q3_cleanhead_validity.csv,measured
vFourLadderBeatLogTwo,30,q2_nd_ladder.csv,measured
vFourWeakTestLL,0.7349,q2b_effect_of_N.csv,measured
vFourWeakTrainAcc,0.954,q2b_effect_of_N.csv,measured
vFourWeakOracle,0.9941,q2b_effect_of_N.csv,measured
vFourTiedAtCutMax,1,x_grid_cells.csv,measured
vFourZeroPrecCells,837,x_grid_cells.csv,measured
vFourTopPrec,0.0000,q5_twotailed_summary.csv,measured
vFourTwoTailPrec,0.2120,q5_twotailed_summary.csv,measured
vFourRandPrec,0.1520,q5_twotailed_summary.csv,measured
vFourBottomPrec,0.4371,q5_twotailed_summary.csv,measured
vFourTwoTailLossGain,0.0486,q5_twotailed_summary.csv,measured
vFourTwoTailConfigs,6,q5_twotailed_summary.csv,measured
vFourMtTwoTailPrec,0.0000,q5_twotailed_summary.csv,measured
vFourMtRandPrec,0.1501,q5_twotailed_summary.csv,measured
vFourMtScoreAuroc,0.6429,q5_twotailed_summary.csv,measured
vFourRandDelNeverWins,6,q4_remediation_summary.csv,measured
vFourDetHarm,0.0485,q4_remediation_summary.csv,measured
vFourDetHarmLo,0.0429,q4_remediation_summary.csv,measured
vFourDetHarmHi,0.0526,q4_remediation_summary.csv,measured
vFourDetRemain,310,q4_remediation_summary.csv,measured
vFourMatchedHarm,0.0023,q4_remediation_summary.csv,measured
vFourOracleCorrGain,0.0045,q4_remediation_summary.csv,measured
vFourZeroCatPct,12,x_grid_cells.csv,measured
vFourZeroRespPct,0.1,x_grid_cells.csv,measured
